epoch,sensor,link,log type,data,SST
1739686785.19,2,DATA,SOFT2,2137,2837
1739686785.58,1,DATA,SOFT2,2569,2811
1739686785.62,3,DATA,SOFT2,2535,2723
1739686785.69,2,DATA,SOFT2,2637,2837
1739686843.65,2,DATA,SOFT2,570,2836
1739686843.76,1,DATA,SOFT2,627,2808
1739686843.78,3,DATA,SOFT2,561,2724
1739686844.15,2,DATA,SOFT2,1070,2836
1739686844.26,1,DATA,SOFT2,1127,2808
1739686844.28,3,DATA,SOFT2,1061,2724
1739686844.65,2,DATA,SOFT2,1570,2836
1739686844.76,1,DATA,SOFT2,1627,2808
1739686844.78,3,DATA,SOFT2,1561,2724
1739686845.15,2,DATA,SOFT2,2070,2836
1739686845.26,1,DATA,SOFT2,2127,2808
1739686845.28,3,DATA,SOFT2,2061,2724
1739686845.65,2,DATA,SOFT2,2570,2836
1739686845.76,1,DATA,SOFT2,2627,2807
1739686845.78,3,DATA,SOFT2,2561,2724
1739686903.55,1,DATA,SOFT2,530,2805
1739686903.59,2,DATA,SOFT2,542,2836
1739686903.62,3,DATA,SOFT2,553,2725
1739686904.05,1,DATA,SOFT2,1030,2805
1739686904.09,2,DATA,SOFT2,1042,2835
1739686904.12,3,DATA,SOFT2,1053,2726
1739686904.55,1,DATA,SOFT2,1530,2805
1739686904.59,2,DATA,SOFT2,1542,2835
1739686904.62,3,DATA,SOFT2,1553,2726
1739686905.04,1,DATA,SOFT2,2030,2805
1739686905.09,2,DATA,SOFT2,2042,2836
1739686905.12,3,DATA,SOFT2,2053,2726
1739686905.54,1,DATA,SOFT2,2530,2805
1739686905.59,2,DATA,SOFT2,2542,2836
1739686905.62,3,DATA,SOFT2,2553,2726
1739686963.61,1,DATA,SOFT2,604,2804
1739686963.66,2,DATA,SOFT2,629,2835
1739686963.70,3,DATA,SOFT2,646,2727
1739686964.10,1,DATA,SOFT2,1104,2804
1739686964.16,2,DATA,SOFT2,1129,2835
1739686964.19,3,DATA,SOFT2,1146,2728
1739686964.60,1,DATA,SOFT2,1604,2804
1739686964.66,2,DATA,SOFT2,1629,2835
1739686964.69,3,DATA,SOFT2,1646,2728
1739686965.10,1,DATA,SOFT2,2104,2804
1739686965.16,2,DATA,SOFT2,2129,2835
1739686965.19,3,DATA,SOFT2,2146,2727
1739686965.60,1,DATA,SOFT2,2604,2804
1739686965.66,2,DATA,SOFT2,2629,2835
1739686965.69,3,DATA,SOFT2,2646,2727
1739687023.58,1,DATA,SOFT2,554,2803
1739687023.69,3,DATA,SOFT2,621,2729
1739687023.78,2,DATA,SOFT2,649,2835
1739687024.08,1,DATA,SOFT2,1054,2803
1739687024.19,3,DATA,SOFT2,1121,2730
1739687024.28,2,DATA,SOFT2,1149,2835
1739687024.58,1,DATA,SOFT2,1554,2803
1739687024.69,3,DATA,SOFT2,1621,2730
1739687024.78,2,DATA,SOFT2,1649,2835
