millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
251453,1668628049.00,328.59,-20.37,-21.72, 
251852,1668628049.40,292.32,-69.71,-302.16, 
252256,1668628049.80,176.86,-141.76,-529.38, 
252663,1668628050.20,46.49,-230.34,-527.85, 
253067,1668628050.60,-61.04,-263.85,-388.65, 
253458,1668628051.00,-148.00,-269.11,-239.70, 
253855,1668628051.40,-105.66,-283.39,16.20, 
254259,1668628051.80,-6.94,-255.04,328.34, 
254650,1668628052.20,22.24,-193.60,425.69, 
255049,1668628052.60,27.12,-154.86,265.08, 
255457,1668628053.00,-50.26,-118.79,132.13, 
255850,1668628053.40,-113.32,-53.22,98.18, 
256247,1668628053.80,-116.11,-29.59,90.58, 
256655,1668628054.20,-117.77,57.43,5.86, 
257052,1668628054.60,-87.10,144.28,-10.23, 
257447,1668628055.00,-108.85,196.85,147.04, 
257845,1668628055.40,-95.19,171.45,133.26, 
258256,1668628055.80,-35.48,197.36,-39.93, 
259278,1668628056.20,-83.07,151.03,-133.47, 
