millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
268984,1739685534.00,59.22,-11.69,-18.51,
269384,1739685534.40,52.34,-16.56,-13.17,
269784,1739685534.80,62.56,-20.15,-9.31,
270185,1739685535.20,54.01,-22.63,-12.94,
270585,1739685535.60,77.88,-24.12,-18.92,
270985,1739685536.00,80.65,-24.74,-19.46,
271386,1739685536.40,81.52,-8.52,-14.71,
271787,1739685536.80,80.70,-11.30,-23.66,
272183,1739685537.20,78.43,-13.14,-25.48,
272585,1739685537.60,74.91,1.93,-25.09,
272985,1739685538.00,70.33,-1.93,-14.84,
273386,1739685538.40,64.86,11.30,-3.12,
273785,1739685538.80,58.68,21.87,11.33,
274186,1739685539.20,51.94,30.05,18.73,
274587,1739685539.60,59.97,20.02,30.13,
274987,1739685540.00,49.17,27.77,31.96,
275385,1739685540.40,38.57,33.47,29.62,
275786,1739685540.80,43.46,37.38,42.71,
276186,1739685541.20,30.16,39.72,56.23,
276585,1739685541.60,17.66,40.69,55.43,
276986,1739685542.00,5.98,40.49,48.46,
277394,1739685542.40,-4.84,39.29,50.91,
277796,1739685542.80,-14.80,37.26,50.96,
278197,1739685543.20,-23.88,34.55,40.07,
278595,1739685543.60,-32.10,15.20,25.05,
278995,1739685544.00,-24.25,31.15,27.54,
279396,1739685544.40,-34.10,26.76,28.77,
279795,1739685544.80,-58.81,22.18,20.87,
280195,1739685545.20,-62.72,17.51,11.14,
280597,1739685545.60,-65.91,12.82,-0.77,
280997,1739685546.00,-53.20,8.18,-7.05,
281396,1739685546.40,-43.17,-12.43,-14.05,
281797,1739685546.80,-50.68,-13.24,-13.43,
282195,1739685547.20,-41.66,-14.24,-6.70,
282594,1739685547.60,-49.94,-15.36,-23.82,
282995,1739685548.00,-41.49,-32.63,-32.88,
283397,1739685548.40,-50.16,-30.29,-37.02,
283822,1739685548.80,-41.95,-44.41,-26.38,
284196,1739685549.20,-35.52,-39.20,-26.41,
