epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
1739944777.58,3,DATA,SOFT2,516,2708
1739944777.61,2,DATA,SOFT2,552,2689
1739944777.63,1,DATA,SOFT2,603,2685
1739944778.07,3,DATA,SOFT2,1016,2708
1739944778.10,2,DATA,SOFT2,1052,2689
1739944778.13,1,DATA,SOFT2,1103,2685
1739944778.57,3,DATA,SOFT2,1516,2708
1739944778.60,2,DATA,SOFT2,1552,2689
1739944778.63,1,DATA,SOFT2,1603,2685
1739944779.07,3,DATA,SOFT2,2016,2708
1739944779.10,2,DATA,SOFT2,2052,2689
1739944779.13,1,DATA,SOFT2,2103,2685
1739944779.57,3,DATA,SOFT2,2516,2708
1739944779.60,2,DATA,SOFT2,2552,2690
1739944779.62,1,DATA,SOFT2,2603,2685
1739944779.98,0,BSYS,108576,INFO,disable SM bus
1739944779.98,0,BSYS,108577,INFO,next ss et 1739944835
1739944784.99,0,BSYS,113588,INFO,etmark 1739944785
1739944795.00,0,BSYS,123591,INFO,etmark 1739944795
1739944805.00,0,BSYS,133593,INFO,etmark 1739944805
1739944815.01,0,BSYS,143606,INFO,etmark 1739944815
1739944824.99,0,BSYS,153607,INFO,etmark 1739944825
1739944834.99,0,BSYS,163601,INFO,etmark 1739944835
1739944835.00,0,BSYS,163613,INFO,enable SM bus
1739944835.00,0,BSYS,163614,INFO,ss until ms 168614
1739944837.60,1,DATA,SOFT2,550,2684
1739944837.63,2,DATA,SOFT2,545,2689
1739944837.73,3,DATA,SOFT2,644,2708
1739944838.10,1,DATA,SOFT2,1050,2685
1739944838.13,2,DATA,SOFT2,1045,2689
1739944838.23,3,DATA,SOFT2,1144,2708
1739944838.60,1,DATA,SOFT2,1550,2684
1739944838.64,2,DATA,SOFT2,1545,2688
1739944838.73,3,DATA,SOFT2,1644,2708
1739944839.10,1,DATA,SOFT2,2050,2685
1739944839.14,2,DATA,SOFT2,2045,2689
1739944839.23,3,DATA,SOFT2,2144,2708
1739944839.60,1,DATA,SOFT2,2550,2684
1739944839.64,2,DATA,SOFT2,2545,2688
1739944839.73,3,DATA,SOFT2,2644,2708
1739944840.02,0,BSYS,168614,INFO,disable SM bus
1739944840.02,0,BSYS,168615,INFO,next ss et 1739944895
1739944845.01,0,BSYS,173601,INFO,etmark 1739944845
1739944855.00,0,BSYS,183602,INFO,etmark 1739944855
1739944865.00,0,BSYS,193603,INFO,etmark 1739944865
1739944875.00,0,BSYS,203607,INFO,etmark 1739944875
1739944885.00,0,BSYS,213610,INFO,etmark 1739944885
1739944895.00,0,BSYS,223607,INFO,enable SM bus
1739944895.00,0,BSYS,223608,INFO,ss until ms 228608
1739944895.09,0,BSYS,223707,INFO,etmark 1739944885
1739944897.59,2,DATA,SOFT2,522,2688
1739944897.67,3,DATA,SOFT2,602,2708
1739944897.69,1,DATA,SOFT2,653,2683
1739944898.09,2,DATA,SOFT2,1022,2688
1739944898.17,3,DATA,SOFT2,1102,2708
1739944898.19,1,DATA,SOFT2,1153,2683
1739944898.58,2,DATA,SOFT2,1522,2689
1739944898.67,3,DATA,SOFT2,1602,2708
1739944898.69,1,DATA,SOFT2,1653,2683
1739944899.08,2,DATA,SOFT2,2022,2688
1739944899.17,3,DATA,SOFT2,2102,2708
1739944899.19,1,DATA,SOFT2,2153,2683
1739944899.58,2,DATA,SOFT2,2522,2688
1739944899.67,3,DATA,SOFT2,2602,2708
1739944899.69,1,DATA,SOFT2,2653,2683
1739944899.99,0,BSYS,228608,INFO,disable SM bus
1739944899.99,0,BSYS,228609,INFO,next ss et 1739944955
1739944905.00,0,BSYS,233613,INFO,etmark 1739944905
1739944915.00,0,BSYS,243614,INFO,etmark 1739944915
1739944925.00,0,BSYS,253615,INFO,etmark 1739944925
1739944935.01,0,BSYS,263630,INFO,etmark 1739944935
1739944944.97,0,BSYS,273619,INFO,etmark 1739944945
1739944955.00,0,BSYS,283602,INFO,enable SM bus
1739944955.00,0,BSYS,283603,INFO,ss until ms 288603
1739944955.01,0,BSYS,283627,INFO,etmark 1739944955
1739944957.61,3,DATA,SOFT2,564,2708
1739944957.70,1,DATA,SOFT2,660,2681
1739944957.72,2,DATA,SOFT2,586,2688
1739944958.11,3,DATA,SOFT2,1064,2708
1739944958.20,1,DATA,SOFT2,1160,2681
1739944958.22,2,DATA,SOFT2,1086,2688
1739944958.61,3,DATA,SOFT2,1564,2708
1739944958.70,1,DATA,SOFT2,1660,2681
1739944958.72,2,DATA,SOFT2,1586,2688
1739944959.11,3,DATA,SOFT2,2064,2708
1739944959.20,1,DATA,SOFT2,2160,2681
1739944959.22,2,DATA,SOFT2,2086,2688
1739944959.61,3,DATA,SOFT2,2564,2708
1739944959.70,1,DATA,SOFT2,2660,2681
1739944959.72,2,DATA,SOFT2,2586,2688
1739944959.97,0,BSYS,288603,INFO,disable SM bus
1739944959.97,0,BSYS,288604,INFO,next ss et 1739945015
1739944964.99,0,BSYS,293627,INFO,etmark 1739944965
1739944975.00,0,BSYS,303629,INFO,etmark 1739944975
